content,label
您好，这里是上海市松江区公安局，我们发现您的招商卡涉及犯罪，需要进行资金清查。我们需要您配合我们的调查，并下载一个“Zom”APP，以便我们远程操控您的手机进行相关操作。,冒充公检法及政府机关类
你好，请问是XXX吗？我是北京公安局的警官，我想问您是否认识一个叫的人，他涉嫌走私枪支和贩卖毒品案件。如果您不认识他，那么我们就需要进一步调查。我们会帮助您提交申请，但是需要您提供一些个人信息。我们的申请已经通过了，但是需要您去北京市公安局接受调查。如果您无法前往，我们可以再帮您提交申请，但是需要您先不要挂断电话。这边需要你下载并注册一个名为“zoom”的视频会议应用程序。,冒充公检法及政府机关类
我是中国公安的工作人员，我打电话给您是想通知您，您被卷入了一起刑事案件，我们需要您配合我们的调查。您需要添加我们的QQ号码，并下载两个APP，以便我们进行调查。如果您不配合，我们可能会冻结您的账户，并对您进行调查。如果您需要找回您的钱，您需要配合我们的调查。谢谢您的配合。,冒充公检法及政府机关类
你好，我是下陆公安分局的警察。我打电话是因为我们发现一个名叫的嫌疑人使用了他名下的一张卡进行洗钱活动。我们怀疑这张卡可能与您的身份信息有关。为了调查此事，我们需要您的帮助。请添加我们的QQ好友，我们会给您发送一份“通缉令”。如果您确认这是您的身份证号，我们将进一步调查此事。如果您需要进一步的信息或帮助，请随时与我们联系。谢谢您的配合。,冒充公检法及政府机关类
你好，我这里是医保部门。我们接到一个关于你骗保的举报，需要你配合我们调查一下。你是在家吗？现在方便我们过来核实一下你的情况吗？为了证明你没有骗保，我们需要你下载一个指定的软件，下载后退出微信，设置电话拦截，然后我们通过QQ视频进行核实。,冒充公检法及政府机关类
你好，我是深圳市公安局的警察，我打电话给您是因为我们发现您涉及一项严重的犯罪活动，您的银行卡被用于洗钱。为了调查此事，我们需要您提供更多信息并协助我们。首先，请您下载腾讯会议APP和zoom的软件，然后打开腾讯会议APP并分享手机屏幕。我们需要查看您的手机以确认您的身份和涉及的犯罪活动。接下来，请提供您的名下所有银行卡信息，以便我们进行调查。最后，为了方便调查，我们要求您将所有资金汇总到您的一张银行卡上，并扫码授权登录。请注意，授权登录是为了方便我们进行调查，不会对您的账户安全造成影响。谢谢您的配合，我们一定会尽快解决这个问题。,冒充公检法及政府机关类
您好，我是南京市公安局的工作人员，目前正在处理一起贩毒案件。我想添加您的微信，这样便于我们沟通。请您添加我的微信，我的微信号是……。成功添加我的微信后，我会向您出示我的警官证和协查通知，以证明我确实是南京市公安局的工作人员。同时，我必须告知您，您的身份证被一个贩毒嫌疑人用于办理了一张招商银行的银行卡。我们正在积极处理这个案件，并需要您的配合。如果您收到任何可疑的邮件、电话或短信，请立即向我们报告。请注意，为了保护您的个人信息和资金安全，请不要向任何人提供您的银行账户信息或进行任何转账操作。如果您有任何疑问或需要进一步的信息，请随时与我联系。我会竭尽所能为您提供帮助。谢谢您的配合！,冒充公检法及政府机关类
您好，我是防控中心的监测员，您最近可能去过一些地方，需要隔离。请您配合我们的工作，我们会将电话转给南昌的警方。南昌警方会与您核实身份信息，包括您的身份证号码和联系方式。请您务必核对信息，并配合警方报案。刑侦总队的警察会添加您的QQ，并与您进行视频聊天。在视频聊天过程中，他会让您下载一个名为“zoom”的app，并加入会议。之后，他会给您一个网址，声称是检察院的官方网站。请您在网站上查询有无被通缉，输入身份信息后显示出一个通缉令。,冒充公检法及政府机关类
你好，我是某平台的工作人员，我们发现您无意间开通了我们的代理商。为了不影响您的利益，我们建议您立即关闭这个功能。要关闭它，我们需要您将钱款转账到我们提供的账户，然后完成操作后，我们将为您关闭该功能。如果您同意，请立即按照我们的指示进行转账。谢谢您的配合！,冒充公检法及政府机关类
你好，这里是茂名疾控中心。请问你现在方便接听电话吗？我们发现你可能与一些疫情相关的人有过接触。现在，我们需要了解一下你的健康状况，是否出现发热等症状。由于你被认定为密切接触者，为了保障公共卫生安全，我们将安排你进行居家隔离。现在，你的电话需要转接到北京公安局。稍后，他们会与你联系，协助你处理一些相关事宜。谢谢你的配合。祝你生活愉快！,冒充公检法及政府机关类
